class_id,fractal_dimension_mean,fractal_dimension_std,symm_vertical_mean,symm_vertical_std,symm_horizontal_mean,symm_horizontal_std,glcm_contrast_mean,glcm_contrast_std,glcm_entropy_mean,glcm_entropy_std,glcm_homogeneity_mean,glcm_homogeneity_std,shape_area_ratio_mean,shape_area_ratio_std,shape_compactness_mean,shape_compactness_std,shape_edge_density_mean,shape_edge_density_std,shape_aspect_mean,shape_aspect_std,gray_std_mean,gray_std_std,morph_body_len_ratio_mean,morph_body_len_ratio_std,morph_body_width_ratio_mean,morph_body_width_ratio_std,morph_wing_span_ratio_mean,morph_wing_span_ratio_std,morph_tail_ratio_mean,morph_tail_ratio_std,morph_wing_body_ratio_mean,morph_wing_body_ratio_std,morph_tail_body_ratio_mean,morph_tail_body_ratio_std
1,1.5565659443537394,0.10366164786125215,0.28539921510964633,0.11726222900606943,0.2214444179708759,0.1388638488798228,8.02432370185852,5.976730932500083,4.725538676977157,0.8136682593596659,0.6522338847319286,0.1203981338913365,0.21214919857059916,0.12194684546146028,0.15804388523101806,0.09371172336084967,0.04532694972973938,0.018573609724437026,1.5413004028300443,0.8803323428598993,55.399193890889485,9.548274226451468,0.6693229312698047,0.14026926896793443,0.31074991847078004,0.13846389951284113,0.6102096940080325,0.17261760864668452,0.23203536514192818,0.09269398499471791,0.9082194385429223,0.19413658361464614,0.34913882315158845,0.12472608263097569
2,1.556473481655121,0.10349866054547376,0.287682439154014,0.18019453138594957,0.31275376776854197,0.1740433184557996,9.066055830319723,8.946913977905984,4.64845077196757,0.9704920011857738,0.6778056095043818,0.14821534668368289,0.19109998571996886,0.1064733884918418,0.1623479106153051,0.0735645196714197,0.04393455721437931,0.01552022377845484,1.2262638946374258,0.6690142857682261,56.56360944112142,9.888902774022805,0.6297709825138251,0.17726512744009892,0.3113852683454752,0.12759420465637858,0.5204062896470228,0.18659547454119996,0.2367654658233126,0.09941551040089189,0.8342314943671226,0.21632529496244085,0.38026337946454686,0.12453583194568567
3,1.5231805772616946,0.09472495552318949,0.2811763435923334,0.15698454534617254,0.2680621664682082,0.16279866041285512,8.078695238664233,9.211266943060338,4.296061713120033,1.1477494154028385,0.7152028638741066,0.14725190686656517,0.1668066654418563,0.09627004660475881,0.1469212800007442,0.06990784261778989,0.05017278852455061,0.02087852458762965,1.3465031971191537,0.6963254402026136,50.95538474773539,11.672255443055565,0.6162550426248846,0.16037282667343966,0.3046090020316428,0.14136622357007336,0.5202660902306951,0.13924666330782529,0.23221372979982147,0.09803451493603603,0.863027480655703,0.19174906220983667,0.3778092638942702,0.1297403788347869
4,1.6043452203273774,0.09551576338643789,0.2437939895336361,0.15023720311714944,0.2414840410715745,0.16124663355366395,12.666435555617015,8.491147023742753,5.089957821369171,0.6152105315519665,0.6160385698080063,0.11127126320151977,0.24674458696196477,0.1130742831890873,0.15150131558378538,0.09574970288864895,0.04401832583049933,0.01527164212216067,0.9894179393847783,0.4098826168318533,64.29131266276042,8.399978925869364,0.7092735270659128,0.20255635945581724,0.3420581171909968,0.11252068357428767,0.515145663668712,0.14744709290010222,0.27770352450509866,0.10412236588958497,0.7554937968651454,0.20272840815383095,0.3915767307082812,0.09569619602358262
5,1.6179501495578072,0.08091856962369996,0.2585416530491784,0.13749277408189983,0.286271714351394,0.11686215562140857,9.06558927080848,5.025052229592839,4.804004512049935,0.49589699225506695,0.665505900979042,0.09201558219330919,0.24603896935216404,0.111102339102655,0.16352378873323853,0.11179884332779284,0.040065766566179016,0.011726913867756502,0.8522801297632131,0.3475479554924925,54.556404720653184,10.451661589600128,0.7012186998670752,0.18257704148623033,0.34353227117522195,0.12318738837574063,0.46910821815783327,0.1433601304867356,0.2822438781573014,0.0843558650140287,0.6765388053926554,0.17427733876409257,0.40240194885568187,0.08036141417472738
6,1.586668363431605,0.08867290265618016,0.2480596517462556,0.12526881201579113,0.2814893651662803,0.11776369347469534,9.793857237187828,5.983624235714751,4.929996664931134,0.4849199684744148,0.6463010456503891,0.08058870418229051,0.22616898304805522,0.09427778585542243,0.1316995443549098,0.0698969704022862,0.04969837007726111,0.012127193101621284,0.922401916689989,0.3222138224887695,57.9305475746713,8.147472098350617,0.6715736214707537,0.1342443521779995,0.34496018508585485,0.08522043022207569,0.49162344925287293,0.121009943120947,0.26867538436156946,0.06941323400988854,0.7378613607185643,0.1527603088420091,0.3985542342430208,0.06706524601827815
7,1.5698537489153304,0.10169230031349524,0.297658083121345,0.16521124755257674,0.290235088259544,0.15222493542736565,8.335193121208334,4.646774465815812,4.936970809720597,0.3802844908672623,0.6527304160145094,0.0777603378269156,0.2097231309931233,0.11887438666386001,0.16275429718618123,0.09384866114337076,0.046250806488799596,0.01574442138556719,0.9985882291254008,0.45846627578024635,55.17684072818396,6.7376715773616045,0.6435810040752843,0.15689785159682457,0.32960168820507124,0.13756599020684807,0.47276856173884196,0.13141274863875263,0.24344321396553292,0.08454224065894349,0.7475270898836963,0.1655220625016375,0.37661588529370865,0.09224936506422814
8,1.61215773721536,0.09228568116954008,0.28356857256342966,0.11762664225956437,0.28366144032528,0.1448835377242735,11.566776672999064,7.326481473729541,5.224179272850354,0.46229825980303313,0.5812081812570492,0.08774976035218794,0.26978538806239766,0.12171715616796563,0.15120610307591656,0.09680405387014697,0.04678910741737733,0.013649305673016582,1.5471838278075059,0.49476594027717263,61.364698012669884,8.310783997066398,0.6977614111577471,0.16679402370361165,0.3895407390470306,0.12821308790839708,0.6707176569228371,0.18360546806649425,0.2106644899273912,0.06253060646752331,0.9577880874276161,0.14181896039693032,0.31469645785788697,0.10290158787151656
9,1.6114399918055131,0.0838748904586157,0.27568942119004364,0.14532633846044232,0.27759883817979847,0.14078933184201703,13.661580418126057,15.79032036367318,4.844064902451079,0.7748772258418887,0.6557731446573289,0.14464336089454094,0.24613029250906684,0.09431748510532742,0.1730134007915602,0.09189502687913113,0.035881816204321584,0.010699520717841986,1.1938127425767608,0.49100473783752135,62.90079976744571,8.893102443554938,0.6566937757750689,0.1361484039684906,0.35548753985914133,0.11018952616736265,0.5804091282820297,0.14453959677038733,0.2530954306534791,0.07576020050606856,0.889283542410802,0.18364682920330133,0.385327617748309,0.09625005893595945
10,1.5925938447316488,0.13233590852957813,0.29633044824004173,0.1541180458841948,0.24954914924843857,0.18554048945077342,8.275449405113855,7.136661000544108,4.459983356793722,0.7226900174474712,0.7298849458495776,0.11006490469358882,0.22610298863922557,0.11879504187289927,0.21264480352401732,0.09997258610922204,0.039896430013080436,0.016303528309027114,1.3570273076494535,0.9818669898606108,65.68565635681152,11.71642248528245,0.6181992003073294,0.17590330824861938,0.2899639370540778,0.11913150444104685,0.5219399714221556,0.16580735888205794,0.2535327087311695,0.11394252881142675,0.8488672564427058,0.1623271900537033,0.39846363086253406,0.13330195406959844
